x,y,z,xm,ym,zm
47.0,53.0,0,6.3,-10.049999999999999,102.124
47.0,53.5,0,6.6,-10.049999999999999,102.366
47.0,54.0,0,6.75,-10.95,101.88199999999999
47.0,54.5,0,6.8999999999999995,-11.1,102.124
47.0,55.0,0,7.05,-11.4,101.88199999999999
47.0,55.5,0,7.5,-12.299999999999999,101.88199999999999
47.0,56.0,0,7.6499999999999995,-12.75,102.366
47.0,56.5,0,7.949999999999999,-13.2,101.88199999999999
47.0,57.0,0,8.7,-13.5,102.366
47.0,57.5,0,9.299999999999999,-13.95,102.608
47.0,58.0,0,9.0,-14.549999999999999,103.334
47.0,58.5,0,9.6,-14.85,102.124
47.0,59.0,0,9.9,-15.45,102.124
47.0,59.5,0,10.2,-15.75,102.366
47.0,60.0,0,10.799999999999999,-16.2,102.608
47.0,60.5,0,11.25,-16.65,103.092
47.0,61.0,0,11.85,-17.55,102.366
47.0,61.5,0,12.45,-17.849999999999998,103.092
47.0,62.0,0,12.75,-17.849999999999998,103.092
47.0,62.5,0,13.5,-18.45,103.576
47.0,63.0,0,13.95,-19.05,103.334
47.0,63.5,0,14.549999999999999,-19.349999999999998,104.06
47.0,64.0,0,14.85,-20.4,103.576
47.0,64.5,0,15.899999999999999,-20.25,103.818
47.0,65.0,0,16.2,-20.7,104.544
47.0,65.5,0,17.099999999999998,-21.15,104.544
47.0,66.0,0,17.55,-21.599999999999998,104.786
47.0,66.5,0,18.9,-21.599999999999998,104.06
47.0,67.0,0,19.2,-21.75,104.786
47.0,67.5,0,19.95,-22.349999999999998,104.786
47.0,68.0,0,20.55,-22.5,105.27
47.0,68.5,0,21.0,-22.8,105.02799999999999
47.0,69.0,0,22.5,-23.099999999999998,105.512
47.0,69.5,0,22.65,-23.55,105.27
47.0,70.0,0,23.25,-23.849999999999998,105.27
47.0,70.5,0,24.15,-24.3,104.786
47.0,71.0,0,25.349999999999998,-24.3,106.47999999999999
47.0,71.5,0,25.65,-24.45,105.75399999999999
47.0,72.0,0,26.25,-24.9,105.512
47.0,72.5,0,27.3,-25.2,106.47999999999999
47.0,73.0,0,28.2,-25.349999999999998,106.722
47.0,73.5,0,28.799999999999997,-25.65,106.964
47.0,74.0,0,30.15,-25.65,106.964
47.0,74.5,0,30.15,-25.65,107.206
47.0,75.0,0,31.2,-25.5,106.722
47.0,75.5,0,31.95,-25.8,107.206
47.0,76.0,0,32.699999999999996,-25.95,107.448
47.0,76.5,0,33.15,-25.8,107.448
47.0,77.0,0,34.05,-26.25,107.206
47.0,77.5,0,34.5,-26.25,107.206
47.0,78.0,0,34.949999999999996,-25.95,107.448
47.0,78.5,0,36.0,-26.099999999999998,107.932
47.0,79.0,0,36.6,-26.7,107.448
47.0,79.5,0,37.65,-26.55,107.932
47.0,80.0,0,38.4,-26.849999999999998,107.69
47.0,80.5,0,38.699999999999996,-26.7,108.416
47.0,81.0,0,39.6,-26.55,107.69
47.0,81.5,0,40.05,-26.55,107.69
47.0,82.0,0,40.65,-26.55,108.658
47.0,82.5,0,41.55,-26.7,107.932
47.0,83.0,0,42.3,-26.4,107.69
47.0,83.5,0,42.75,-26.55,106.964
47.0,84.0,0,43.35,-26.849999999999998,107.69
47.0,84.5,0,43.949999999999996,-26.849999999999998,107.448
47.0,85.0,0,44.55,-26.55,107.206
47.0,85.5,0,45.15,-26.7,107.448
47.0,86.0,0,45.75,-26.25,107.206
47.0,86.5,0,46.5,-26.849999999999998,106.47999999999999
47.5,37.0,0,0.3,-6.3,96.8
47.5,37.5,0,0.3,-5.85,97.28399999999999
47.5,38.0,0,0.44999999999999996,-5.7,97.042
47.5,38.5,0,0.75,-5.85,98.00999999999999
47.5,39.0,0,0.8999999999999999,-5.85,98.252
47.5,39.5,0,1.5,-5.55,98.252
47.5,40.0,0,1.7999999999999998,-5.55,99.22
47.5,40.5,0,1.65,-5.85,98.73599999999999
47.5,41.0,0,2.1,-5.85,99.462
47.5,41.5,0,2.1,-6.3,99.22
47.5,42.0,0,2.1,-5.7,99.704
47.5,42.5,0,2.55,-5.85,99.946
47.5,43.0,0,2.4,-5.85,99.704
47.5,43.5,0,2.6999999999999997,-6.0,100.188
47.5,44.0,0,3.15,-6.0,100.42999999999999
47.5,44.5,0,3.15,-5.55,100.188
47.5,45.0,0,3.0,-5.85,99.704
47.5,45.5,0,3.4499999999999997,-6.1499999999999995,100.188
47.5,46.0,0,3.4499999999999997,-6.3,100.672
47.5,46.5,0,3.4499999999999997,-6.0,100.188
47.5,47.0,0,3.75,-6.8999999999999995,100.914
47.5,47.5,0,3.75,-6.8999999999999995,100.672
47.5,48.0,0,4.05,-7.199999999999999,100.672
47.5,48.5,0,4.05,-7.6499999999999995,101.15599999999999
47.5,49.0,0,4.35,-7.5,100.188
47.5,49.5,0,4.5,-7.6499999999999995,101.15599999999999
47.5,50.0,0,4.8,-8.1,100.672
47.5,50.5,0,4.6499999999999995,-8.1,100.914
47.5,51.0,0,4.6499999999999995,-8.4,101.398
47.5,51.5,0,4.95,-9.0,101.15599999999999
47.5,52.0,0,4.8,-9.299999999999999,101.15599999999999
47.5,52.5,0,5.3999999999999995,-9.6,101.64
47.5,53.0,0,5.55,-9.75,100.672
47.5,53.5,0,5.3999999999999995,-10.5,100.42999999999999
47.5,54.0,0,6.0,-10.799999999999999,100.672
47.5,54.5,0,6.1499999999999995,-10.799999999999999,101.398
47.5,55.0,0,6.1499999999999995,-11.549999999999999,100.914
47.5,55.5,0,6.45,-11.85,100.914
47.5,56.0,0,7.05,-12.6,100.914
47.5,56.5,0,7.35,-13.2,101.398
